% Model,A0_C1_A0_C1_B0_C1_B0_C1_st235_new.mph
% Version,COMSOL 6.4.0.343
% Date,"Aug 7 2026, 11:17"
% Table,Table 4 - Global Evaluation 4
% eta_P,lamda (nm),theta (deg),freq (THz),"Reflectance, order 0 (1)"
0,509.99999999999994,20,587.8283490196079,0.4078198754747589
0,509.99999999999994,29.999999999999996,587.8283490196079,0.16319849299890335
0,509.99999999999994,40,587.8283490196079,0.06650744470249173
0,509.99999999999994,50,587.8283490196079,0.26311754652336955
0,509.99999999999994,59.99999999999999,587.8283490196079,0.20417149914624347
0,509.99999999999994,70,587.8283490196079,0.18796879739951683
0,509.99999999999994,80,587.8283490196079,0.2403184262678046
0,519.9999999999999,0,576.5239576923076,0.6937615648215025
0,519.9999999999999,10,576.5239576923076,0.6664588171197688
0,519.9999999999999,20,576.5239576923076,0.37762822266235324
0,519.9999999999999,29.999999999999996,576.5239576923076,0.1650660896402711
0,519.9999999999999,40,576.5239576923076,0.05905026420095217
0,519.9999999999999,50,576.5239576923076,0.21677437613858663
0,519.9999999999999,59.99999999999999,576.5239576923076,0.20650991396776697
0,519.9999999999999,70,576.5239576923076,0.11144933270647328
0,519.9999999999999,80,576.5239576923076,0.20657015773880666
0,530,0,565.6461471698113,0.5319847305481799
0,530,10,565.6461471698113,0.556192089107213
0,530,20,565.6461471698113,0.2866077348488587
0,530,29.999999999999996,565.6461471698113,0.13380611213324625
0,530,40,565.6461471698113,0.1377601695613868
0,530,50,565.6461471698113,0.08808396626801263
0,530,59.99999999999999,565.6461471698113,0.036094351147731796
0,530,70,565.6461471698113,0.027215207923421754
0,530,80,565.6461471698113,0.15984285185535593
0,540,0,555.1712185185185,0.4498129693797551
0,540,10,555.1712185185185,0.36310145790932213
0,540,20,555.1712185185185,0.25147284804700054
0,540,29.999999999999996,555.1712185185185,0.020142062451821763
0,540,40,555.1712185185185,0.1529063278232649
0,540,50,555.1712185185185,0.1339087676017577
0,540,59.99999999999999,555.1712185185185,0.043972277770074904
0,540,70,555.1712185185185,0.08112431045656397
0,540,80,555.1712185185185,0.30611082965855807
0,550,0,545.0771963636364,0.4418398403757632
0,550,10,545.0771963636364,0.3171663618880373
0,550,20,545.0771963636364,0.34936417204918563
0,550,29.999999999999996,545.0771963636364,0.033519337459852666
0,550,40,545.0771963636364,0.07133671572291879
0,550,50,545.0771963636364,0.18151448714791873
0,550,59.99999999999999,545.0771963636364,0.09406859163319045
0,550,70,545.0771963636364,0.10903829588271902
0,550,80,545.0771963636364,0.2929466237292377
0,560,0,535.343675,0.21077411854371342
0,560,10,535.343675,0.19881930489809133
0,560,20,535.343675,0.1921379115309547
0,560,29.999999999999996,535.343675,0.008606305097738373
0,560,40,535.343675,0.032516706883116975
0,560,50,535.343675,0.03127963931779065
0,560,59.99999999999999,535.343675,0.05285065181441335
0,560,70,535.343675,0.13824862964601303
0,560,80,535.343675,0.347383551443174
0,570,0,525.9516807017543,0.09469430493709559
0,570,10,525.9516807017543,0.10823354610130684
0,570,20,525.9516807017543,0.06019568244810422
0,570,29.999999999999996,525.9516807017543,0.010390896855996049
0,570,40,525.9516807017543,0.014257659185529205
0,570,50,525.9516807017543,0.06384448557940965
0,570,59.99999999999999,525.9516807017543,0.003882450038196649
0,570,70,525.9516807017543,0.08275369303593375
0,570,80,525.9516807017543,0.22891390044192622
0,580,0,516.883548275862,0.0055213438113821825
0,580,10,516.883548275862,0.014156996447639559
0,580,20,516.883548275862,0.010140721452486495
0,580,29.999999999999996,516.883548275862,0.021453748111474186
0,580,40,516.883548275862,0.05448489214160585
0,580,50,516.883548275862,0.11059577263544282
0,580,59.99999999999999,516.883548275862,0.06047937223894899
0,580,70,516.883548275862,0.029611788833033996
0,580,80,516.883548275862,0.13501944146852649
0,590,0,508.12281016949134,0.08888629394341276
0,590,10,508.12281016949134,0.04388257046301848
0,590,20,508.12281016949134,0.023017787317224668
0,590,29.999999999999996,508.12281016949134,0.015972561340681354
0,590,40,508.12281016949134,0.10505256428280296
0,590,50,508.12281016949134,0.10392118241389693
0,590,59.99999999999999,508.12281016949134,0.06890965723314225
0,590,70,508.12281016949134,0.024324667533951547
0,590,80,508.12281016949134,0.15880087962689618
0,600,0,499.65409666666653,0.20800744454774914
0,600,10,499.65409666666653,0.1547079499427221
0,600,20,499.65409666666653,0.11632317817710992
0,600,29.999999999999996,499.65409666666653,0.005276780701912363
0,600,40,499.65409666666653,0.10989919291910265
0,600,50,499.65409666666653,0.1409899884466889
0,600,59.99999999999999,499.65409666666653,0.025628502668518842
0,600,70,499.65409666666653,0.08125230330339166
0,600,80,499.65409666666653,0.3461394647723997
0,610,0,491.46304590163925,0.17942015595662136
0,610,10,491.46304590163925,0.18508699784638633
0,610,20,491.46304590163925,0.14792580285702533
0,610,29.999999999999996,491.46304590163925,0.0028570228518879697
0,610,40,491.46304590163925,0.1170801174988936
0,610,50,491.46304590163925,0.08353930369427714
0,610,59.99999999999999,491.46304590163925,0.003207987243273463
0,610,70,491.46304590163925,0.13237820099734937
0,610,80,491.46304590163925,0.42560501478591417
0,619.9999999999999,0,483.5362225806452,0.09610487486945965
0,619.9999999999999,10,483.5362225806452,0.15993529455726133
0,619.9999999999999,20,483.5362225806452,0.10532212875495203
0,619.9999999999999,29.999999999999996,483.5362225806452,0.01016046081094198
0,619.9999999999999,40,483.5362225806452,0.07444060194590418
0,619.9999999999999,50,483.5362225806452,0.042670491579162494
